index,temperature(거실)
2021-01-01 00:00:00,23.519
2021-01-01 01:00:00,23.667
2021-01-01 02:00:00,23.74
2021-01-01 03:00:00,23.9
2021-01-01 04:00:00,23.836
2021-01-01 05:00:00,23.935
2021-01-01 06:00:00,23.883
2021-01-01 07:00:00,23.964
2021-01-01 08:00:00,24.109
2021-01-01 09:00:00,24.238
2021-01-01 10:00:00,24.111
2021-01-01 11:00:00,23.605
2021-01-01 12:00:00,23.218
2021-01-01 13:00:00,23.356
2021-01-01 14:00:00,23.309
2021-01-01 15:00:00,23.064
2021-01-01 16:00:00,23.001
2021-01-01 17:00:00,23.16
2021-01-01 18:00:00,23.22
2021-01-01 19:00:00,23.044
2021-01-01 20:00:00,23.362
2021-01-01 21:00:00,23.611
2021-01-01 22:00:00,23.717
2021-01-01 23:00:00,23.868
2021-01-02 00:00:00,23.971
2021-01-02 01:00:00,24.188
2021-01-02 02:00:00,24.231
2021-01-02 03:00:00,24.352
2021-01-02 04:00:00,24.216
2021-01-02 05:00:00,24.359
2021-01-02 06:00:00,24.254
2021-01-02 07:00:00,24.064
2021-01-02 08:00:00,24.433
2021-01-02 09:00:00,24.448
2021-01-02 10:00:00,24.616
2021-01-02 11:00:00,22.602
2021-01-02 12:00:00,23.177
2021-01-02 13:00:00,23.305
2021-01-02 14:00:00,23.373
2021-01-02 15:00:00,23.266
2021-01-02 16:00:00,23.068
2021-01-02 17:00:00,23.153
2021-01-02 18:00:00,23.462
2021-01-02 19:00:00,23.392
2021-01-02 20:00:00,23.551
2021-01-02 21:00:00,23.853
2021-01-02 22:00:00,24.017
2021-01-02 23:00:00,24.078
2021-01-03 00:00:00,24.017
2021-01-03 01:00:00,24.18
2021-01-03 02:00:00,24.207
2021-01-03 03:00:00,24.262
2021-01-03 04:00:00,24.33
2021-01-03 05:00:00,24.27
2021-01-03 06:00:00,24.374
2021-01-03 07:00:00,24.278
2021-01-03 08:00:00,24.493
2021-01-03 09:00:00,24.514
2021-01-03 10:00:00,24.315
2021-01-03 11:00:00,23.938
2021-01-03 12:00:00,22.396
2021-01-03 13:00:00,22.755
2021-01-03 14:00:00,22.117
2021-01-03 15:00:00,22.443
2021-01-03 16:00:00,22.197
2021-01-03 17:00:00,22.281
2021-01-03 18:00:00,22.549
2021-01-03 19:00:00,22.91
2021-01-03 20:00:00,22.924
2021-01-03 21:00:00,23.241
2021-01-03 22:00:00,22.027535714285712
2021-01-03 23:00:00,22.093357142857144
2021-01-04 00:00:00,22.138428571428566
2021-01-04 01:00:00,22.233
2021-01-04 02:00:00,22.288000000000004
2021-01-04 03:00:00,22.368500000000004
2021-01-04 04:00:00,22.404178571428567
2021-01-04 05:00:00,22.444357142857143
2021-01-04 06:00:00,22.47453571428571
2021-01-04 07:00:00,22.45292857142857
2021-01-04 08:00:00,22.598714285714294
2021-01-04 09:00:00,22.262178571428574
2021-01-04 10:00:00,21.824413793103442
2021-01-04 11:00:00,21.616689655172422
2021-01-04 12:00:00,21.389413793103447
2021-01-04 13:00:00,21.329866666666664
2021-01-04 14:00:00,21.290166666666664
2021-01-04 15:00:00,21.312099999999994
2021-01-04 16:00:00,21.305200000000006
2021-01-04 17:00:00,21.354033333333334
2021-01-04 18:00:00,21.5606
2021-01-04 19:00:00,21.80416666666667
2021-01-04 20:00:00,21.995866666666664
2021-01-04 21:00:00,22.131866666666664
2021-01-04 22:00:00,22.027535714285712
2021-01-04 23:00:00,22.093357142857144
2021-01-05 00:00:00,22.138428571428566
2021-01-05 01:00:00,22.233
2021-01-05 02:00:00,22.288000000000004
2021-01-05 03:00:00,22.368500000000004
2021-01-05 04:00:00,22.404178571428567
2021-01-05 05:00:00,22.444357142857143
2021-01-05 06:00:00,22.47453571428571
2021-01-05 07:00:00,22.45292857142857
2021-01-05 08:00:00,22.598714285714294
2021-01-05 09:00:00,22.262178571428574
2021-01-05 10:00:00,21.715
2021-01-05 11:00:00,21.694
2021-01-05 12:00:00,21.463
2021-01-05 13:00:00,21.262
2021-01-05 14:00:00,21.069
2021-01-05 15:00:00,20.813
2021-01-05 16:00:00,20.667
2021-01-05 17:00:00,20.889
2021-01-05 18:00:00,21.403
2021-01-05 19:00:00,21.814
2021-01-05 20:00:00,22.007
2021-01-05 21:00:00,22.207
2021-01-05 22:00:00,22.303
2021-01-05 23:00:00,22.596
2021-01-06 00:00:00,22.797
2021-01-06 01:00:00,22.926
2021-01-06 02:00:00,23.108
2021-01-06 03:00:00,23.2
2021-01-06 04:00:00,23.357
2021-01-06 05:00:00,23.487
2021-01-06 06:00:00,23.435
2021-01-06 07:00:00,23.154
2021-01-06 08:00:00,22.886
2021-01-06 09:00:00,22.243
2021-01-06 10:00:00,21.39
2021-01-06 11:00:00,20.78
2021-01-06 12:00:00,21.178
2021-01-06 13:00:00,21.494
2021-01-06 14:00:00,21.415
2021-01-06 15:00:00,21.226
2021-01-06 16:00:00,21.467
2021-01-06 17:00:00,21.545
2021-01-06 18:00:00,21.312
2021-01-06 19:00:00,21.965
2021-01-06 20:00:00,22.291
2021-01-06 21:00:00,22.542
2021-01-06 22:00:00,22.534
2021-01-06 23:00:00,22.525
2021-01-07 00:00:00,22.336
2021-01-07 01:00:00,22.353
2021-01-07 02:00:00,22.254
2021-01-07 03:00:00,22.262
2021-01-07 04:00:00,22.301
2021-01-07 05:00:00,22.264
2021-01-07 06:00:00,22.297
2021-01-07 07:00:00,22.168
2021-01-07 08:00:00,22.372
2021-01-07 09:00:00,22.438
2021-01-07 10:00:00,22.31
2021-01-07 11:00:00,22.273
2021-01-07 12:00:00,21.925
2021-01-07 13:00:00,21.535
2021-01-07 14:00:00,21.774
2021-01-07 15:00:00,21.6
2021-01-07 16:00:00,21.513
2021-01-07 17:00:00,21.048
2021-01-07 18:00:00,21.365
2021-01-07 19:00:00,21.632
2021-01-07 20:00:00,21.909
2021-01-07 21:00:00,21.969
2021-01-07 22:00:00,21.849
2021-01-07 23:00:00,21.998
2021-01-08 00:00:00,22.124
2021-01-08 01:00:00,22.25
2021-01-08 02:00:00,21.979
2021-01-08 03:00:00,21.981
2021-01-08 04:00:00,22.066
2021-01-08 05:00:00,22.163
2021-01-08 06:00:00,22.357
2021-01-08 07:00:00,22.255
2021-01-08 08:00:00,22.422
2021-01-08 09:00:00,21.193
2021-01-08 10:00:00,19.055
2021-01-08 11:00:00,19.835
2021-01-08 12:00:00,19.763
2021-01-08 13:00:00,19.448
2021-01-08 14:00:00,19.303
2021-01-08 15:00:00,19.093
2021-01-08 16:00:00,19.216
2021-01-08 17:00:00,19.25
2021-01-08 18:00:00,19.699
2021-01-08 19:00:00,20.076
2021-01-08 20:00:00,20.259
2021-01-08 21:00:00,20.388
2021-01-08 22:00:00,20.426
2021-01-08 23:00:00,20.594
2021-01-09 00:00:00,20.6
2021-01-09 01:00:00,20.766
2021-01-09 02:00:00,20.799
2021-01-09 03:00:00,20.901
2021-01-09 04:00:00,21.058
2021-01-09 05:00:00,21.025
2021-01-09 06:00:00,21.196
2021-01-09 07:00:00,21.118
2021-01-09 08:00:00,21.677
2021-01-09 09:00:00,21.747
2021-01-09 10:00:00,21.643
2021-01-09 11:00:00,21.666
2021-01-09 12:00:00,21.254
2021-01-09 13:00:00,20.862
2021-01-09 14:00:00,20.778
2021-01-09 15:00:00,20.803
2021-01-09 16:00:00,20.732
2021-01-09 17:00:00,20.709
2021-01-09 18:00:00,20.904
2021-01-09 19:00:00,20.966
2021-01-09 20:00:00,21.334
2021-01-09 21:00:00,21.771
2021-01-09 22:00:00,21.931
2021-01-09 23:00:00,22.199
2021-01-10 00:00:00,22.152
2021-01-10 01:00:00,22.251
2021-01-10 02:00:00,22.452
2021-01-10 03:00:00,22.528
2021-01-10 04:00:00,22.6
2021-01-10 05:00:00,22.61
2021-01-10 06:00:00,22.759
2021-01-10 07:00:00,22.732
2021-01-10 08:00:00,22.993
2021-01-10 09:00:00,22.725
2021-01-10 10:00:00,21.902
2021-01-10 11:00:00,21.951
2021-01-10 12:00:00,21.897
2021-01-10 13:00:00,20.842
2021-01-10 14:00:00,21.114
2021-01-10 15:00:00,21.326
2021-01-10 16:00:00,21.405
2021-01-10 17:00:00,21.5
2021-01-10 18:00:00,21.419
2021-01-10 19:00:00,21.55
2021-01-10 20:00:00,21.785
2021-01-10 21:00:00,21.79
2021-01-10 22:00:00,21.872
2021-01-10 23:00:00,21.914
2021-01-11 00:00:00,22.053
2021-01-11 01:00:00,22.276
2021-01-11 02:00:00,22.362
2021-01-11 03:00:00,22.606
2021-01-11 04:00:00,22.689
2021-01-11 05:00:00,22.468
2021-01-11 06:00:00,22.592
2021-01-11 07:00:00,22.679
2021-01-11 08:00:00,22.651
2021-01-11 09:00:00,22.411
2021-01-11 10:00:00,22.123
2021-01-11 11:00:00,20.965
2021-01-11 12:00:00,20.995
2021-01-11 13:00:00,20.064
2021-01-11 14:00:00,19.239
2021-01-11 15:00:00,19.978
2021-01-11 16:00:00,20.25
2021-01-11 17:00:00,20.5
2021-01-11 18:00:00,20.934
2021-01-11 19:00:00,21.463
2021-01-11 20:00:00,21.753
2021-01-11 21:00:00,22.129
2021-01-11 22:00:00,22.455
2021-01-11 23:00:00,22.499
2021-01-12 00:00:00,22.714
2021-01-12 01:00:00,22.852
2021-01-12 02:00:00,23.06
2021-01-12 03:00:00,23.209
2021-01-12 04:00:00,23.26
2021-01-12 05:00:00,23.468
2021-01-12 06:00:00,23.374
2021-01-12 07:00:00,23.434
2021-01-12 08:00:00,23.258
2021-01-12 09:00:00,22.12
2021-01-12 10:00:00,21.737
2021-01-12 11:00:00,22.033
2021-01-12 12:00:00,20.829
2021-01-12 13:00:00,20.489
2021-01-12 14:00:00,20.756
2021-01-12 15:00:00,21.371
2021-01-12 16:00:00,21.516
2021-01-12 17:00:00,21.365
2021-01-12 18:00:00,21.594
2021-01-12 19:00:00,21.966
2021-01-12 20:00:00,22.016
2021-01-12 21:00:00,22.225
2021-01-12 22:00:00,22.356
2021-01-12 23:00:00,22.491
2021-01-13 00:00:00,22.611
2021-01-13 01:00:00,22.708
2021-01-13 02:00:00,22.9
2021-01-13 03:00:00,22.843
2021-01-13 04:00:00,22.959
2021-01-13 05:00:00,23.0
2021-01-13 06:00:00,23.09
2021-01-13 07:00:00,23.277
2021-01-13 08:00:00,23.412
2021-01-13 09:00:00,23.379
2021-01-13 10:00:00,23.226
2021-01-13 11:00:00,22.08
2021-01-13 12:00:00,21.175
2021-01-13 13:00:00,22.181
2021-01-13 14:00:00,22.813
2021-01-13 15:00:00,22.97
2021-01-13 16:00:00,22.838
2021-01-13 17:00:00,22.656
2021-01-13 18:00:00,22.706
2021-01-13 19:00:00,22.819
2021-01-13 20:00:00,23.178
2021-01-13 21:00:00,23.141
2021-01-13 22:00:00,23.247
2021-01-13 23:00:00,23.169
2021-01-14 00:00:00,23.2
2021-01-14 01:00:00,23.398
2021-01-14 02:00:00,23.33
2021-01-14 03:00:00,23.506
2021-01-14 04:00:00,23.501
2021-01-14 05:00:00,23.582
2021-01-14 06:00:00,23.677
2021-01-14 07:00:00,23.609
2021-01-14 08:00:00,23.528
2021-01-14 09:00:00,22.024
2021-01-14 10:00:00,21.631
2021-01-14 11:00:00,21.422
2021-01-14 12:00:00,21.121
2021-01-14 13:00:00,20.908
2021-01-14 14:00:00,20.705
2021-01-14 15:00:00,20.602
2021-01-14 16:00:00,20.541
2021-01-14 17:00:00,20.643
2021-01-14 18:00:00,21.54
2021-01-14 19:00:00,22.225
2021-01-14 20:00:00,22.513
2021-01-14 21:00:00,22.901
2021-01-14 22:00:00,22.9
2021-01-14 23:00:00,23.103
2021-01-15 00:00:00,23.21
2021-01-15 01:00:00,23.307
2021-01-15 02:00:00,23.561
2021-01-15 03:00:00,23.543
2021-01-15 04:00:00,23.797
2021-01-15 05:00:00,23.857
2021-01-15 06:00:00,24.105
2021-01-15 07:00:00,24.166
2021-01-15 08:00:00,23.963
2021-01-15 09:00:00,22.865
2021-01-15 10:00:00,22.333
2021-01-15 11:00:00,22.14
2021-01-15 12:00:00,21.916
2021-01-15 13:00:00,21.717
2021-01-15 14:00:00,21.52
2021-01-15 15:00:00,21.336
2021-01-15 16:00:00,21.192
2021-01-15 17:00:00,21.225
2021-01-15 18:00:00,21.687
2021-01-15 19:00:00,22.088
2021-01-15 20:00:00,22.542
2021-01-15 21:00:00,22.735
2021-01-15 22:00:00,22.7
2021-01-15 23:00:00,22.966
2021-01-16 00:00:00,23.039
2021-01-16 01:00:00,23.374
2021-01-16 02:00:00,23.456
2021-01-16 03:00:00,23.643
2021-01-16 04:00:00,23.783
2021-01-16 05:00:00,23.751
2021-01-16 06:00:00,23.869
2021-01-16 07:00:00,23.923
2021-01-16 08:00:00,24.167
2021-01-16 09:00:00,24.412
2021-01-16 10:00:00,24.023
2021-01-16 11:00:00,23.033
2021-01-16 12:00:00,23.243
2021-01-16 13:00:00,23.172
2021-01-16 14:00:00,23.343
2021-01-16 15:00:00,23.394
2021-01-16 16:00:00,23.252
2021-01-16 17:00:00,23.095
2021-01-16 18:00:00,23.165
2021-01-16 19:00:00,23.499
2021-01-16 20:00:00,23.572
2021-01-16 21:00:00,23.404
2021-01-16 22:00:00,23.218
2021-01-16 23:00:00,23.035
2021-01-17 00:00:00,23.14
2021-01-17 01:00:00,23.1
2021-01-17 02:00:00,23.237
2021-01-17 03:00:00,23.393
2021-01-17 04:00:00,23.377
2021-01-17 05:00:00,23.533
2021-01-17 06:00:00,23.505
2021-01-17 07:00:00,23.485
2021-01-17 08:00:00,23.788
2021-01-17 09:00:00,22.649
2021-01-17 10:00:00,22.324
2021-01-17 11:00:00,22.794
2021-01-17 12:00:00,22.826
2021-01-17 13:00:00,22.302
2021-01-17 14:00:00,22.108
2021-01-17 15:00:00,21.996
2021-01-17 16:00:00,21.951
2021-01-17 17:00:00,21.884
2021-01-17 18:00:00,21.799
2021-01-17 19:00:00,21.704
2021-01-17 20:00:00,21.608
2021-01-17 21:00:00,21.532
2021-01-17 22:00:00,21.446
2021-01-17 23:00:00,21.375
2021-01-18 00:00:00,21.3
2021-01-18 01:00:00,21.209
2021-01-18 02:00:00,21.144
2021-01-18 03:00:00,21.093
2021-01-18 04:00:00,20.969
2021-01-18 05:00:00,20.88
2021-01-18 06:00:00,20.798
2021-01-18 07:00:00,20.704
2021-01-18 08:00:00,20.652
2021-01-18 09:00:00,20.49
2021-01-18 10:00:00,20.513
2021-01-18 11:00:00,20.499
2021-01-18 12:00:00,20.448
2021-01-18 13:00:00,20.264
2021-01-18 14:00:00,20.123
2021-01-18 15:00:00,20.035
2021-01-18 16:00:00,19.891
2021-01-18 17:00:00,19.686
2021-01-18 18:00:00,19.517
2021-01-18 19:00:00,19.33
2021-01-18 20:00:00,19.197
2021-01-18 21:00:00,19.079
2021-01-18 22:00:00,18.969
2021-01-18 23:00:00,18.848
2021-01-19 00:00:00,18.732
2021-01-19 01:00:00,18.674
2021-01-19 02:00:00,18.603
2021-01-19 03:00:00,18.645
2021-01-19 04:00:00,18.601
2021-01-19 05:00:00,18.578
2021-01-19 06:00:00,18.484
2021-01-19 07:00:00,18.356
2021-01-19 08:00:00,18.479
2021-01-19 09:00:00,18.929
2021-01-19 10:00:00,18.779
2021-01-19 11:00:00,18.672
2021-01-19 12:00:00,18.507
2021-01-19 13:00:00,18.342
2021-01-19 14:00:00,18.302
2021-01-19 15:00:00,18.312
2021-01-19 16:00:00,18.659
2021-01-19 17:00:00,19.513
2021-01-19 18:00:00,19.949
2021-01-19 19:00:00,20.413
2021-01-19 20:00:00,20.662
2021-01-19 21:00:00,20.551
2021-01-19 22:00:00,20.598
2021-01-19 23:00:00,20.597
2021-01-20 00:00:00,20.714
2021-01-20 01:00:00,20.803
2021-01-20 02:00:00,20.888
2021-01-20 03:00:00,21.083
2021-01-20 04:00:00,21.044
2021-01-20 05:00:00,21.229
2021-01-20 06:00:00,21.285
2021-01-20 07:00:00,21.397
2021-01-20 08:00:00,21.783
2021-01-20 09:00:00,20.045
2021-01-20 10:00:00,20.176
2021-01-20 11:00:00,20.735
2021-01-20 12:00:00,20.707
2021-01-20 13:00:00,20.627
2021-01-20 14:00:00,20.558
2021-01-20 15:00:00,20.46
2021-01-20 16:00:00,20.356
2021-01-20 17:00:00,20.306
2021-01-20 18:00:00,20.655
2021-01-20 19:00:00,21.061
2021-01-20 20:00:00,21.387
2021-01-20 21:00:00,21.506
2021-01-20 22:00:00,21.505
2021-01-20 23:00:00,21.647
2021-01-21 00:00:00,21.679
2021-01-21 01:00:00,21.832
2021-01-21 02:00:00,21.937
2021-01-21 03:00:00,22.042
2021-01-21 04:00:00,22.222
2021-01-21 05:00:00,22.276
2021-01-21 06:00:00,22.447
2021-01-21 07:00:00,22.461
2021-01-21 08:00:00,22.201
2021-01-21 09:00:00,21.605
2021-01-21 10:00:00,20.612
2021-01-21 11:00:00,21.074
2021-01-21 12:00:00,21.199
2021-01-21 13:00:00,21.055
2021-01-21 14:00:00,20.808
2021-01-21 15:00:00,20.714
2021-01-21 16:00:00,20.594
2021-01-21 17:00:00,20.7
2021-01-21 18:00:00,20.867
2021-01-21 19:00:00,21.245
2021-01-21 20:00:00,21.487
2021-01-21 21:00:00,21.43
2021-01-21 22:00:00,21.449
2021-01-21 23:00:00,21.592
2021-01-22 00:00:00,21.664
2021-01-22 01:00:00,21.893
2021-01-22 02:00:00,21.991
2021-01-22 03:00:00,22.235
2021-01-22 04:00:00,22.4
2021-01-22 05:00:00,22.53
2021-01-22 06:00:00,22.621
2021-01-22 07:00:00,22.655
2021-01-22 08:00:00,22.497
2021-01-22 09:00:00,21.191
2021-01-22 10:00:00,20.425
2021-01-22 11:00:00,20.446
2021-01-22 12:00:00,20.286
2021-01-22 13:00:00,20.14
2021-01-22 14:00:00,20.036
2021-01-22 15:00:00,19.94
2021-01-22 16:00:00,19.769
2021-01-22 17:00:00,19.973
2021-01-22 18:00:00,20.526
2021-01-22 19:00:00,21.076
2021-01-22 20:00:00,21.379
2021-01-22 21:00:00,21.626
2021-01-22 22:00:00,21.7
2021-01-22 23:00:00,21.815
2021-01-23 00:00:00,22.073
2021-01-23 01:00:00,22.214
2021-01-23 02:00:00,22.461
2021-01-23 03:00:00,22.59
2021-01-23 04:00:00,22.722
2021-01-23 05:00:00,22.862
2021-01-23 06:00:00,22.924
2021-01-23 07:00:00,23.152
2021-01-23 08:00:00,23.147
2021-01-23 09:00:00,23.42
2021-01-23 10:00:00,23.253
2021-01-23 11:00:00,22.628
2021-01-23 12:00:00,21.439
2021-01-23 13:00:00,21.965
2021-01-23 14:00:00,22.469
2021-01-23 15:00:00,22.578
2021-01-23 16:00:00,22.458
2021-01-23 17:00:00,22.516
2021-01-23 18:00:00,22.652
2021-01-23 19:00:00,23.067
2021-01-23 20:00:00,23.298
2021-01-23 21:00:00,23.547
2021-01-23 22:00:00,23.643
2021-01-23 23:00:00,23.721
2021-01-24 00:00:00,23.901
2021-01-24 01:00:00,23.962
2021-01-24 02:00:00,24.196
2021-01-24 03:00:00,24.305
2021-01-24 04:00:00,24.519
2021-01-24 05:00:00,24.694
2021-01-24 06:00:00,24.829
2021-01-24 07:00:00,24.837
2021-01-24 08:00:00,25.711
2021-01-24 09:00:00,25.065
2021-01-24 10:00:00,24.65
2021-01-24 11:00:00,24.355
2021-01-24 12:00:00,24.102
2021-01-24 13:00:00,23.938
2021-01-24 14:00:00,23.552
2021-01-24 15:00:00,23.494
2021-01-24 16:00:00,23.512
2021-01-24 17:00:00,23.471
2021-01-24 18:00:00,23.941
2021-01-24 19:00:00,24.253
2021-01-24 20:00:00,24.495
2021-01-24 21:00:00,24.8
2021-01-24 22:00:00,22.027535714285712
2021-01-24 23:00:00,22.093357142857144
2021-01-25 00:00:00,22.138428571428566
2021-01-25 01:00:00,22.233
2021-01-25 02:00:00,22.288000000000004
2021-01-25 03:00:00,22.368500000000004
2021-01-25 04:00:00,22.404178571428567
2021-01-25 05:00:00,22.444357142857143
2021-01-25 06:00:00,22.47453571428571
2021-01-25 07:00:00,22.45292857142857
2021-01-25 08:00:00,22.598714285714294
2021-01-25 09:00:00,22.262178571428574
2021-01-25 10:00:00,21.824413793103442
2021-01-25 11:00:00,21.616689655172422
2021-01-25 12:00:00,21.389413793103447
2021-01-25 13:00:00,23.066
2021-01-25 14:00:00,23.177
2021-01-25 15:00:00,23.328
2021-01-25 16:00:00,23.279
2021-01-25 17:00:00,23.196
2021-01-25 18:00:00,23.078
2021-01-25 19:00:00,22.97
2021-01-25 20:00:00,22.833
2021-01-25 21:00:00,22.696
2021-01-25 22:00:00,22.602
2021-01-25 23:00:00,22.496
2021-01-26 00:00:00,22.403
2021-01-26 01:00:00,22.356
2021-01-26 02:00:00,22.301
2021-01-26 03:00:00,22.244
2021-01-26 04:00:00,22.141
2021-01-26 05:00:00,22.055
2021-01-26 06:00:00,21.994
2021-01-26 07:00:00,21.908
2021-01-26 08:00:00,21.868
2021-01-26 09:00:00,21.718
2021-01-26 10:00:00,21.622
2021-01-26 11:00:00,21.56
2021-01-26 12:00:00,21.5
2021-01-26 13:00:00,21.492
2021-01-26 14:00:00,21.404
2021-01-26 15:00:00,21.4
2021-01-26 16:00:00,21.399
2021-01-26 17:00:00,21.399
2021-01-26 18:00:00,21.314
2021-01-26 19:00:00,21.256
2021-01-26 20:00:00,21.13
2021-01-26 21:00:00,21.089
2021-01-26 22:00:00,21.021
2021-01-26 23:00:00,21.0
2021-01-27 00:00:00,20.933
2021-01-27 01:00:00,20.872
2021-01-27 02:00:00,20.772
2021-01-27 03:00:00,20.688
2021-01-27 04:00:00,20.601
2021-01-27 05:00:00,20.542
2021-01-27 06:00:00,20.472
2021-01-27 07:00:00,20.385
2021-01-27 08:00:00,20.458
2021-01-27 09:00:00,20.875
2021-01-27 10:00:00,20.516
2021-01-27 11:00:00,20.433
2021-01-27 12:00:00,20.338
2021-01-27 13:00:00,20.246
2021-01-27 14:00:00,20.235
2021-01-27 15:00:00,20.329
2021-01-27 16:00:00,20.373
2021-01-27 17:00:00,20.355
2021-01-27 18:00:00,20.299
2021-01-27 19:00:00,20.201
2021-01-27 20:00:00,20.165
2021-01-27 21:00:00,20.1
2021-01-27 22:00:00,20.078
2021-01-27 23:00:00,20.0
2021-01-28 00:00:00,19.971
2021-01-28 01:00:00,19.9
2021-01-28 02:00:00,19.83
2021-01-28 03:00:00,19.769
2021-01-28 04:00:00,19.701
2021-01-28 05:00:00,19.64
2021-01-28 06:00:00,19.587
2021-01-28 07:00:00,19.5
2021-01-28 08:00:00,19.431
2021-01-28 09:00:00,19.24
2021-01-28 10:00:00,19.126
2021-01-28 11:00:00,19.171
2021-01-28 12:00:00,19.2
2021-01-28 13:00:00,19.259
2021-01-28 14:00:00,19.287
2021-01-28 15:00:00,19.235
2021-01-28 16:00:00,19.2
2021-01-28 17:00:00,19.146
2021-01-28 18:00:00,19.015
2021-01-28 19:00:00,18.947
2021-01-28 20:00:00,18.878
2021-01-28 21:00:00,18.8
2021-01-28 22:00:00,18.725
2021-01-28 23:00:00,18.62
2021-01-29 00:00:00,18.548
2021-01-29 01:00:00,18.454
2021-01-29 02:00:00,18.377
2021-01-29 03:00:00,18.296
2021-01-29 04:00:00,18.203
2021-01-29 05:00:00,18.2
2021-01-29 06:00:00,18.129
2021-01-29 07:00:00,18.02
2021-01-29 08:00:00,19.022
2021-01-29 09:00:00,19.667
2021-01-29 10:00:00,18.673
2021-01-29 11:00:00,18.436
2021-01-29 12:00:00,18.291
2021-01-29 13:00:00,18.143
2021-01-29 14:00:00,18.092
2021-01-29 15:00:00,18.262
2021-01-29 16:00:00,18.972
2021-01-29 17:00:00,19.795
2021-01-29 18:00:00,20.565
2021-01-29 19:00:00,21.487
2021-01-29 20:00:00,22.133
2021-01-29 21:00:00,22.521
2021-01-29 22:00:00,22.675
2021-01-29 23:00:00,22.701
2021-01-30 00:00:00,22.864
2021-01-30 01:00:00,22.996
2021-01-30 02:00:00,23.136
2021-01-30 03:00:00,23.3
2021-01-30 04:00:00,23.275
2021-01-30 05:00:00,23.402
2021-01-30 06:00:00,23.252
2021-01-30 07:00:00,23.286
2021-01-30 08:00:00,23.315
2021-01-30 09:00:00,23.066
2021-01-30 10:00:00,22.804
2021-01-30 11:00:00,22.801
2021-01-30 12:00:00,22.644
2021-01-30 13:00:00,22.762
2021-01-30 14:00:00,22.829
2021-01-30 15:00:00,22.762
2021-01-30 16:00:00,22.616
2021-01-30 17:00:00,22.592
2021-01-30 18:00:00,22.811
2021-01-30 19:00:00,22.604
2021-01-30 20:00:00,23.029
2021-01-30 21:00:00,23.2
2021-01-30 22:00:00,23.353
2021-01-30 23:00:00,23.5
